Activity Type,Year,Month,Date,Hour,Week Day,Distance,Calories,Time,Time in minutes,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022,April,18/04/2022,20:00,Monday,2.02,137,00:11:35,11.58,142,161,2.5,160,173,05:44,04:57,44,28,1.09,,0,0,0,,00:06.39.3,3,00:11:24,00:13:26,349,377
Strength Training,2022,April,15/04/2022,18:28,Friday,0,138,00:20:21,20.35,116,143,1,0,0,,,,,0,,0,0,11,3,20:20.87.1,1,00:17:00,00:20:21,,
Running,2022,April,15/04/2022,18:04,Friday,2.33,154,00:12:14,12.23,146,167,2.8,162,170,05:14,04:47,59,43,1.18,,0,0,0,,01:39.74.9,3,00:12:13,00:12:14,353,376
Running,2022,April,09/04/2022,09:42,Saturday,6.28,466,00:36:44,36.73,160,194,4.2,150,189,05:51,03:42,124,126,1.13,,0,0,0,,01:34.41.8,7,00:34:07,00:36:44,779,843
Strength Training,2022,April,04/04/2022,19:27,Monday,0,86,00:14:04,14.07,114,141,0.9,0,0,,,,,0,,0,0,138,13,14:04.3,1,09:43.2,00:14:05,,
Strength Training,2022,April,03/04/2022,20:07,Sunday,0,116,00:13:29,13.48,132,143,1.7,0,0,,,,,0,,0,0,101,12,13:28.62.4,1,06:05.3,00:13:29,,
Running,2022,April,03/04/2022,19:44,Sunday,4.42,294,00:21:05,21.08,156,198,3.8,163,179,04:46,03:43,77,61,1.28,,0,0,0,,01:53.64.3,5,00:20:56,00:21:05,349,379
Strength Training,2022,April,02/04/2022,21:30,Saturday,0,46,00:08:17,8.28,106,124,0.3,0,0,,,,,0,,0,0,28,6,08:17.5,1,05:35.7,08:17.5,,
Running,2022,April,02/04/2022,21:19,Saturday,1.63,97,00:08:44,8.73,127,141,2.3,165,179,05:22,04:47,12,7,1.13,,0,0,0,,03:15.53.5,2,00:08:42,00:11:09,356,370
Strength Training,2022,March,23/03/2022,19:54,Wednesday,0,73,00:09:32,9.53,125,145,1,0,0,,,,,0,,0,0,72,11,09:31.74.1,1,04:38.1,09:31.7,,
Running,2022,March,23/03/2022,19:39,Wednesday,2.22,159,00:12:41,12.68,133,142,2.7,159,175,05:43,04:48,42,35,1.1,,0,0,0,,01:17.64.7,3,00:12:27,00:12:41,350,373
Running,2022,March,21/03/2022,16:38,Monday,2.32,180,00:26:41,26.68,111,141,1.4,103,249,11:29,05:07,70,77,0.84,,0,0,0,,04:04.4,3,00:24:47,00:26:41,330,400
Strength Training,2022,March,19/03/2022,20:07,Saturday,0,99,00:19:17,19.28,104,133,0.5,0,0,,,,,0,,0,0,51,8,19:17.35.8,1,00:11:55,00:19:29,,
Running,2022,March,19/03/2022,19:30,Saturday,4.02,281,00:21:55,21.92,138,152,3.3,161,177,05:27,04:50,89,82,1.14,,0,0,0,,00:06.22.5,5,00:21:54,00:21:55,355,404
Running,2022,March,18/03/2022,09:40,Friday,4.73,331,00:27:06,27.1,149,171,3.2,164,187,05:44,04:15,70,69,1.07,,0,0,0,,04:28.09.1,5,00:27:04,00:30:35,326,365
Other,2022,March,12/03/2022,09:29,Saturday,56.15,1345,05:51:24,351.4,95,129,1.6,6,214,9.6,62.5,"6,064","5,630",37.24,,0,0,0,,00:02.37.2,57,03:13:22,05:51:26,"1,260","2,945"
Other,2022,March,11/03/2022,13:03,Friday,44.08,1294,04:17:58,257.97,84,113,3,4,166,10.3,60.3,"4,807","4,632",68.67,,0,0,0,,01:30.66.2,45,02:35:02,04:17:58,"1,436","2,690"
Other,2022,March,10/03/2022,13:32,Thursday,3.54,92,00:13:27,13.45,109,119,0.8,5,147,15.8,68.6,,738,74.03,,0,0,0,,01:13.61.2,4,00:07:46,00:13:27,"2,351","3,090"
Other,2022,March,10/03/2022,10:33,Thursday,25.77,479,02:11:02,131.03,90,120,1.2,5,166,11.8,68.4,"1,842","3,241",46.1,,0,0,0,,01:08.58.9,26,01:19:44,02:11:02,"1,141","2,998"
Other,2022,March,08/03/2022,16:28,Tuesday,1.74,33,00:03:49,3.82,113,119,0.5,5,111,27.3,44.3,,250,106.69,,0,0,0,,01:35.76.4,2,03:41.3,03:49.0,"2,324","2,580"
Other,2022,March,08/03/2022,16:14,Tuesday,1.5,29,00:03:34,3.57,113,121,0.4,4,82,25.3,49.7,,235,32.04,,0,0,0,,01:45.23.2,2,00:03:25,03:33.9,"2,205","2,442"
Other,2022,March,08/03/2022,15:54,Tuesday,3.48,44,00:05:35,5.58,108,118,0.6,13,157,37.4,67.2,,662,49.93,,0,0,0,,00:56.72.3,4,00:05:34,05:35.0,"2,273","2,945"
Other,2022,March,08/03/2022,11:52,Tuesday,4.14,166,00:19:52,19.87,119,132,1.9,6,181,12.5,61,,843,53.47,,0,0,0,,00:29.86.8,5,00:11:28,00:19:52,"1,783","2,634"
Other,2022,March,08/03/2022,10:27,Tuesday,0.81,42,00:04:04,4.07,133,147,0.8,10,147,11.9,37.2,,97,19.98,,0,0,0,,04:04.18.8,1,00:02:13,04:04.5,"2,278","2,381"
Other,2022,March,07/03/2022,11:35,Monday,0.62,12,00:01:19,1.32,116,122,0.1,4,100,28,55.2,,99,128.35,,0,0,0,,01:19.5,1,00:00:56,01:23.4,"2,686","2,788"
Other,2022,March,07/03/2022,11:09,Monday,2.39,45,00:04:28,4.47,114,119,1.1,14,138,32.1,55,,434,19.26,,0,0,0,,00:45.99.5,3,04:27.2,04:28.2,"2,481","2,925"
Other,2022,March,07/03/2022,10:31,Monday,3.01,156,00:18:07,18.12,119,138,2,4,153,10,39.6,12,400,24.39,,0,0,0,,00:03.29.6,4,00:12:07,00:18:07,"2,234","2,622"
Pool Swimming,2022,March,01/03/2022,18:03,Tuesday,1.025,186,00:21:04,21.07,122,146,1.5,0,0,01:59,00:59,,,0,425,40,21,0,,21:03.74.4,1,00:20:16,00:21:19,,
Pool Swimming,2022,February,25/02/2022,10:24,Friday,1.5,282,00:39:06,39.1,118,152,1.7,0,0,02:09,00:52,,,0,663,43,21,0,,00:02.09.8,2,00:32:19,00:42:02,,
Strength Training,2022,February,25/02/2022,10:11,Friday,0,45,00:08:26,8.43,104,132,0.4,0,0,,,,,0,,0,0,41,5,08:26.32.9,1,04:11.1,08:26.3,,
Strength Training,2022,February,21/02/2022,20:22,Monday,0,93,00:15:45,15.75,111,124,0.6,0,0,,,,,0,,0,0,45,9,15:45.16.9,1,06:17.0,00:15:45,,
Running,2022,February,21/02/2022,19:52,Monday,3.27,228,00:17:40,17.67,145,160,3.1,163,172,05:25,04:49,53,50,1.14,,0,0,0,,01:23.77.6,4,00:17:37,00:17:40,354,376
Running,2022,February,18/02/2022,16:25,Friday,3.52,250,00:18:23,18.38,145,159,3.4,159,176,05:13,04:33,78,68,1.21,,0,0,0,,02:37.83.7,4,00:18:22,00:18:23,345,378
Pool Swimming,2022,February,17/02/2022,12:48,Thursday,0.8,154,00:23:43,23.72,124,147,2,0,0,01:55,01:23,,,0,316,39,21,0,,23:42.6,1,00:15:21,00:29:08,,
Running,2022,February,14/02/2022,10:19,Monday,3.8,249,00:19:43,19.72,139,163,3.1,163,183,05:12,04:09,63,64,1.18,,0,0,0,,04:24.72.1,4,00:19:38,00:30:18,322,363
Strength Training,2022,February,09/02/2022,20:30,Wednesday,0,148,00:37:05,37.08,96,126,0.5,0,0,,,,,0,,0,0,109,18,37:05.20.5,1,00:12:25,00:37:07,,
Treadmill Running,2022,February,09/02/2022,20:20,Wednesday,1,52,00:06:23,6.38,120,137,0.7,147,166,06:21,04:51,,,1.07,,0,0,0,,00:02.13.4,2,06:09.1,06:22.6,,
Cycling,2022,February,04/02/2022,11:11,Friday,14.64,685,02:28:17,148.28,104,142,1.4,0,0,5.9,29.7,321,268,0,,0,0,0,,29:33.15.4,3,01:06:32,02:43:49,78,169
Pool Swimming,2022,February,03/02/2022,16:43,Thursday,1.05,191,00:25:41,25.68,125,149,2,0,0,01:57,01:07,,,0,438,40,23,0,,25:40.56.2,1,00:19:26,00:26:32,,
Pool Swimming,2022,January,31/01/2022,18:22,Monday,1.05,178,00:23:41,23.68,123,134,1.5,0,0,02:10,01:24,,,0,463,44,21,0,,23:40.8,1,00:22:16,00:24:01,,
Strength Training,2022,January,30/01/2022,19:58,Sunday,0,57,00:07:23,7.38,120,136,0.6,0,0,,,,,0,,0,0,19,4,07:23.26.5,1,05:49.0,07:23.3,,
