Activity Type,Year,Month,Date,Hour,Week Day,Distance,Calories,Time,Time in minutes,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pool Swimming,2021,May,27/05/2021,19:02,Thursday,0.5,109,00:14:51,14.85,0,0,,0,0,02:28,00:56,,,0,325,51,22,0,,14:50.91.9,1,00:14:51,00:14:56,,
Running,2021,May,25/05/2021,20:03,Tuesday,5.01,342,00:22:17,22.28,0,0,,160,174,04:27,03:58,150,167,1.41,,0,0,0,,00:01.65.7,6,00:22:16,00:26:42,353,397
Running,2021,May,22/05/2021,20:36,Saturday,3.56,245,00:17:17,17.28,0,0,,163,209,04:51,03:57,139,129,1.27,,0,0,0,,02:40.15.6,4,00:17:17,00:17:17,351,394
Running,2021,May,19/05/2021,20:37,Wednesday,5.57,381,00:26:39,26.65,0,0,,159,169,04:47,04:14,168,166,1.32,,0,0,0,,02:35.80.4,6,00:26:38,00:26:53,363,389
Running,2021,May,13/05/2021,18:50,Thursday,5.01,341,00:21:09,21.15,0,0,,161,178,04:13,03:33,156,163,1.47,,0,0,0,,00:03.07.5,6,00:21:07,00:21:13,334,372
Running,2021,May,10/05/2021,18:39,Monday,7.62,520,00:34:02,34.03,0,0,,161,178,04:28,03:28,292,257,1.39,,0,0,0,,02:44.17.1,8,00:33:59,00:39:47,335,391
Running,2021,May,08/05/2021,20:58,Saturday,3.46,236,00:15:47,15.78,0,0,,161,174,04:34,04:05,109,114,1.36,,0,0,0,,01:58.86.3,4,00:15:45,00:15:47,366,390
Running,2021,May,07/05/2021,18:12,Friday,4.44,302,00:20:52,20.87,0,0,,158,175,04:42,02:21,114,119,1.34,,0,0,0,,01:52.66.4,5,00:20:50,00:21:13,346,383
Pool Swimming,2021,May,06/05/2021,18:55,Thursday,0.8,149,00:19:33,19.55,0,0,,0,0,02:19,00:51,,,0,415,48,22,0,,09:39.5,2,00:18:33,00:26:01,,
Running,2021,May,04/05/2021,21:25,Tuesday,2.78,189,00:11:59,11.98,0,0,,165,184,04:19,03:09,110,104,1.41,,0,0,0,,03:22.37.6,3,00:11:59,00:11:59,361,389
Running,2021,May,02/05/2021,18:56,Sunday,6.36,434,00:28:54,28.9,0,0,,161,176,04:33,03:28,251,239,1.36,,0,0,0,,01:35.17.8,7,00:28:53,00:29:01,356,394
Running,2021,April,27/04/2021,21:03,Tuesday,6.14,415,00:31:44,31.73,0,0,,160,181,05:10,02:08,240,219,1.21,,0,0,0,,00:25.86.1,7,00:31:42,00:31:44,357,391
Pool Swimming,2021,April,26/04/2021,20:13,Monday,0.525,91,00:16:50,16.83,0,0,,0,0,02:23,01:10,,,0,292,50,23,0,,16:49.56.7,1,00:12:31,00:16:58,,
Running,2021,April,25/04/2021,19:43,Sunday,4.03,275,00:24:02,24.03,0,0,,158,167,05:58,04:43,165,168,1.06,,0,0,0,,00:10.68.7,5,00:24:01,00:24:02,358,398
Pool Swimming,2021,April,23/04/2021,12:19,Friday,1.025,176,00:25:46,25.77,0,0,,0,0,02:23,00:53,,,0,577,49,23,0,,10:45.60.1,2,00:25:00,00:27:32,,
Running,2021,April,22/04/2021,19:27,Thursday,5.01,341,00:23:45,23.75,0,0,,164,178,04:44,03:47,168,155,1.29,,0,0,0,,00:02.22.4,6,00:23:45,00:24:33,360,412
Running,2021,April,20/04/2021,20:49,Tuesday,4.49,307,00:22:22,22.37,0,0,,163,174,04:59,04:12,164,169,1.23,,0,0,0,,02:30.5,5,00:22:21,00:22:22,351,386
Running,2021,April,17/04/2021,20:28,Saturday,3.42,235,00:19:55,19.92,0,0,,160,169,05:49,05:02,92,71,1.08,,0,0,0,,02:33.6,4,00:19:54,00:19:55,136,187
Pool Swimming,2021,April,16/04/2021,08:32,Friday,0.575,105,00:12:35,12.58,0,0,,0,0,02:10,00:54,,,0,296,45,24,0,,12:35.44.7,1,00:12:25,00:19:20,,
Running,2021,April,15/04/2021,19:18,Thursday,4.51,308,00:25:12,25.2,0,0,,161,173,05:35,04:47,184,192,1.11,,0,0,0,,02:35.25.7,5,00:25:10,00:25:12,352,393
Pool Swimming,2021,April,09/04/2021,17:25,Friday,0.55,105,00:13:06,13.1,0,0,,0,0,02:23,00:50,,,0,292,49,22,0,,13:05.66.4,1,00:13:06,00:14:50,,
Running,2021,April,09/04/2021,15:56,Friday,3.33,228,00:16:06,16.1,0,0,,163,177,04:50,04:23,131,129,1.27,,0,0,0,,01:32.29.9,4,00:16:06,00:16:06,359,410
Running,2021,March,28/03/2021,20:13,Sunday,5.47,373,00:28:31,28.52,0,0,,159,171,05:13,04:02,164,168,1.21,,0,0,0,,02:13.28.9,6,00:28:30,00:29:04,361,387
Pool Swimming,2021,March,26/03/2021,16:05,Friday,0.625,122,00:12:59,12.98,0,0,,0,0,01:58,00:49,,,0,277,41,23,0,,12:59.19.7,1,00:12:18,00:13:20,,
Running,2021,March,21/03/2021,19:15,Sunday,3.14,216,00:17:22,17.37,0,0,,157,167,05:32,04:50,146,136,1.15,,0,0,0,,01:01.46.9,4,00:17:22,00:17:22,354,395
Running,2021,March,10/03/2021,08:31,Wednesday,2,133,00:07:36,7.6,0,0,,164,188,03:49,02:44,85,98,1.6,,0,0,0,,03:38.17.1,2,07:36.2,07:36.5,254,299
Pool Swimming,2021,March,05/03/2021,15:59,Friday,1,208,00:21:38,21.63,0,0,,0,0,02:00,00:50,,,0,461,42,23,0,,21:37.70.7,1,00:20:02,00:21:47,,
Running,2021,March,03/03/2021,19:27,Wednesday,2.01,134,00:07:42,7.7,0,0,,168,184,03:50,03:21,54,64,1.55,,0,0,0,,00:01.73.3,3,07:40.3,07:41.7,362,384
Running,2021,February,27/02/2021,19:17,Saturday,5.55,378,00:28:25,28.42,0,0,,162,173,05:07,04:35,192,187,1.21,,0,0,0,,02:44.80.5,6,00:28:24,00:28:30,353,382
Running,2021,February,20/02/2021,18:53,Saturday,5.53,380,00:27:49,27.82,0,0,,163,173,05:02,04:32,178,156,1.22,,0,0,0,,02:38.90.4,6,00:27:47,00:27:49,352,389
Running,2021,February,19/02/2021,16:18,Friday,5.94,397,00:32:39,32.65,0,0,,160,173,05:30,04:50,,,1.14,,0,0,0,,05:12.3,6,00:32:38,00:33:21,363,363
Running,2021,February,13/02/2021,19:08,Saturday,4.81,326,00:25:17,25.28,0,0,,166,188,05:16,03:34,255,254,1.14,,0,0,0,,03:34.65.8,5,00:25:16,00:25:17,335,392
Cycling,2021,February,11/02/2021,12:02,Thursday,10.86,372,00:55:39,55.65,0,0,,0,0,11.7,33.4,193,213,0,,0,0,0,,08:11.16.4,3,00:46:25,00:55:41,20,87
Cycling,2021,February,11/02/2021,10:41,Thursday,9.76,352,00:52:12,52.2,0,0,,0,0,11.2,30.7,224,240,0,,0,0,0,,24:43.33.3,2,00:45:29,00:52:12,36,94
Running,2021,February,06/02/2021,19:05,Saturday,5.25,351,00:28:53,28.88,0,0,,161,238,05:30,04:18,545,549,1.13,,0,0,0,,01:56.02.4,6,00:28:52,00:28:53,186,482
Running,2021,February,05/02/2021,15:36,Friday,4.63,315,00:20:45,20.75,0,0,,165,176,04:29,03:36,279,230,1.35,,0,0,0,,02:38.70.8,5,00:20:44,00:20:45,330,387
Running,2021,February,03/02/2021,20:02,Wednesday,3.01,204,00:16:47,16.78,0,0,,160,181,05:34,04:24,163,119,1.12,,0,0,0,,00:03.04.2,4,00:16:46,00:16:47,330,381
Cycling,2021,February,02/02/2021,10:08,Tuesday,13.1,412,00:31:19,31.32,0,0,,0,0,25.1,63.5,148,304,0,,0,0,0,,07:12.91.1,3,00:31:08,00:31:19,306,515
Cycling,2021,February,02/02/2021,08:51,Tuesday,12.51,478,00:45:50,45.83,0,0,,0,0,16.4,54.4,317,171,0,,0,0,0,,12:21.37.5,3,00:44:39,00:45:50,300,516
Running,2021,January,30/01/2021,18:54,Saturday,4.64,316,00:27:19,27.32,0,0,,158,168,05:53,04:32,180,192,1.08,,0,0,0,,03:50.55.4,5,00:27:17,00:27:19,355,395
Running,2021,January,27/01/2021,16:18,Wednesday,5.01,343,00:25:12,25.2,0,0,,161,173,05:02,04:10,277,268,1.24,,0,0,0,,00:02.85.9,6,00:25:03,00:25:55,350,425
Running,2021,January,25/01/2021,18:54,Monday,3.84,262,00:17:29,17.48,0,0,,165,180,04:33,03:37,155,157,1.33,,0,0,0,,03:45.21.6,4,00:17:28,00:17:29,339,410
Running,2021,January,23/01/2021,18:23,Saturday,4.25,292,00:22:45,22.75,0,0,,163,175,05:21,04:33,"1,206",440,1.15,,0,0,0,,01:11.25.4,5,00:22:43,00:22:45,-376,391
Running,2021,January,16/01/2021,18:21,Saturday,3.01,203,00:11:38,11.63,0,0,,167,182,03:52,03:17,102,116,1.55,,0,0,0,,00:02.24.3,4,00:11:36,00:11:38,355,402
Running,2021,January,16/01/2021,03:49,Saturday,0.3,19,00:01:32,1.53,0,0,,7,121,05:03,04:25,7,8,30.41,,0,0,0,,01:31.82.2,1,00:01:26,01:31.8,366,373
Running,2021,January,15/01/2021,15:40,Friday,2.92,196,00:13:42,13.7,0,0,,164,174,04:42,04:09,280,267,1.3,,0,0,0,,04:26.66.6,3,00:13:42,00:13:46,262,430
Running,2021,January,12/01/2021,17:09,Tuesday,3.01,205,00:12:37,12.62,0,0,,169,192,04:11,02:57,79,133,1.41,,0,0,0,,00:02.22.1,4,00:12:36,00:12:46,359,438
Running,2021,January,09/01/2021,18:34,Saturday,5.01,342,00:23:01,23.02,0,0,,168,184,04:35,03:56,247,174,1.3,,0,0,0,,00:02.25.3,6,00:23:01,00:23:11,276,394
Running,2021,January,06/01/2021,16:51,Wednesday,7.4,508,00:34:43,34.72,0,0,,164,176,04:42,03:59,275,314,1.3,,0,0,0,,01:45.38.5,8,00:34:41,00:34:43,339,394
Running,2021,January,02/01/2021,18:26,Saturday,3.82,261,00:21:55,21.92,0,0,,160,169,05:44,04:01,238,239,1.09,,0,0,0,,04:23.2,4,00:21:54,00:21:55,349,388
Running,2021,January,01/01/2021,15:43,Friday,5.01,337,00:20:46,20.77,0,0,,169,188,04:09,02:46,239,197,1.43,,0,0,0,,00:01.43.5,6,00:20:43,00:21:20,354,399
Running,2020,December,30/12/2020,20:33,Wednesday,5.65,390,00:25:57,25.95,0,0,,168,178,04:35,04:05,213,240,1.3,,0,0,0,,02:49.17.7,6,00:25:57,00:25:57,326,383
Running,2020,December,28/12/2020,20:47,Monday,4.19,274,00:21:05,21.08,0,0,,162,182,05:02,04:24,292,279,1.23,,0,0,0,,00:52.90.9,5,00:21:02,00:21:05,323,440
Running,2020,December,22/12/2020,21:03,Tuesday,4.01,276,00:24:33,24.55,0,0,,160,171,06:08,04:50,230,213,1.02,,0,0,0,,00:02.2,5,00:24:31,00:24:33,348,395
Running,2020,December,19/12/2020,18:37,Saturday,5.75,394,00:35:05,35.08,0,0,,159,167,06:06,04:43,331,314,1.03,,0,0,0,,04:33.07.9,6,00:35:04,00:35:05,330,396
Running,2020,December,16/12/2020,19:22,Wednesday,7.01,477,00:33:19,33.32,0,0,,165,181,04:45,03:34,472,473,1.28,,0,0,0,,00:03.06.5,8,00:33:06,00:33:19,20,98
Running,2020,December,15/12/2020,23:25,Tuesday,0,,00:00:03,0.05,0,0,,,,,,,,0,,0,0,0,,00:03.01.2,1,00:00:00,00:03.0,,
Running,2020,December,05/12/2020,18:31,Saturday,0.34,19,00:01:43,1.72,0,0,,159,167,05:04,05:09,26,14,1.24,,0,0,0,,01:43.42.7,1,00:01:43,01:43.4,347,375
Running,2020,December,02/12/2020,18:21,Wednesday,3.89,241,00:29:36,29.6,0,0,,135,218,07:36,04:48,111,119,0.95,,0,0,0,,05:38.63.8,4,00:29:36,00:29:36,365,383
Running,2020,November,26/11/2020,20:37,Thursday,4.17,286,00:20:21,20.35,0,0,,165,176,04:53,04:22,168,173,1.24,,0,0,0,,00:50.93.7,5,00:20:20,00:20:25,361,406
Running,2020,November,24/11/2020,18:45,Tuesday,7.2,490,00:36:03,36.05,0,0,,163,175,05:01,02:16,361,282,1.23,,0,0,0,,00:41.18.9,8,00:36:00,00:51:11,316,428
Running,2020,November,20/11/2020,14:36,Friday,7.9,530,00:43:07,43.12,0,0,,160,173,05:27,04:37,456,447,1.14,,0,0,0,,04:32.96.7,8,00:43:06,00:45:43,686,781
Running,2020,November,18/11/2020,18:06,Wednesday,4.82,331,00:22:53,22.88,0,0,,162,174,04:44,03:54,205,195,1.3,,0,0,0,,03:39.11.5,5,00:22:52,00:22:53,360,397
Running,2020,November,08/11/2020,08:12,Sunday,4.22,289,00:22:03,22.05,0,0,,163,175,05:13,04:31,144,143,1.18,,0,0,0,,01:14.59.2,5,00:22:02,00:22:03,317,363
Running,2020,November,04/11/2020,08:41,Wednesday,4.66,317,00:23:10,23.17,0,0,,165,180,04:59,04:24,188,223,1.22,,0,0,0,,03:23.62.1,5,00:23:08,00:23:10,318,402
Running,2020,November,01/11/2020,05:32,Sunday,4.5,305,00:23:40,23.67,0,0,,163,180,05:15,04:18,213,191,1.17,,0,0,0,,02:33.8,5,00:23:40,00:23:40,329,392
Running,2020,October,26/10/2020,07:23,Monday,6.51,425,00:30:14,30.23,0,0,,179,190,04:38,03:44,362,379,1.2,,0,0,0,,02:20.00.1,7,00:30:11,00:30:29,24,82
Running,2020,October,24/10/2020,21:35,Saturday,4.01,271,00:18:05,18.08,0,0,,164,205,04:31,03:36,440,484,1.35,,0,0,0,,00:01.76.8,5,00:17:49,00:20:29,326,455
Cycling,2020,October,23/10/2020,07:17,Friday,44.96,1181,02:17:03,137.05,0,0,,0,0,19.7,52.1,294,710,0,,0,0,0,,01:54.78.5,10,02:14:12,02:29:27,-5,409
Running,2020,October,20/10/2020,19:19,Tuesday,3.57,246,00:22:14,22.23,0,0,,159,174,06:14,03:56,145,143,1.01,,0,0,0,,03:40.87.1,4,00:22:12,00:22:14,357,384
Running,2020,October,18/10/2020,18:16,Sunday,4.44,300,00:20:23,20.38,0,0,,163,176,04:36,03:38,178,188,1.33,,0,0,0,,02:00.67.4,5,00:20:22,00:20:23,319,374
Running,2020,October,12/10/2020,20:21,Monday,1.01,60,00:04:45,4.75,0,0,,163,171,04:42,04:35,56,208,1.31,,0,0,0,,00:03.11.2,2,04:44.8,04:44.9,357,560
Running,2020,October,10/10/2020,19:41,Saturday,3.09,209,00:15:27,15.45,0,0,,160,169,05:00,02:03,131,126,1.25,,0,0,0,,00:17.07.6,4,00:15:27,00:15:27,356,410
Cycling,2020,October,09/10/2020,07:59,Friday,10,504,00:58:22,58.37,0,0,,0,0,10.3,34.4,486,538,0,,0,0,0,,00:02.45.1,3,00:49:54,01:22:38,259,422
Cycling,2020,October,06/10/2020,07:54,Tuesday,15.85,618,02:59:37,179.62,0,0,,0,0,5.3,42.2,431,494,0,,0,0,0,,09:29.17.9,4,02:34:20,03:16:37,269,421
Running,2020,October,03/10/2020,19:29,Saturday,4.98,340,00:29:51,29.85,0,0,,155,174,05:59,04:36,171,172,1.08,,0,0,0,,05:31.95.4,5,00:29:50,00:30:02,350,388
Running,2020,September,29/09/2020,20:25,Tuesday,3.46,234,00:20:32,20.53,0,0,,157,171,05:56,04:50,411,189,1.07,,0,0,0,,02:50.51.1,4,00:20:32,00:20:32,126,395
Running,2020,September,26/09/2020,19:45,Saturday,3.42,236,00:16:11,16.18,0,0,,163,174,04:44,04:04,75,89,1.3,,0,0,0,,01:49.29.1,4,00:16:11,00:16:11,351,381
Running,2020,September,23/09/2020,20:53,Wednesday,4.27,293,00:20:01,20.02,0,0,,162,228,04:41,03:58,193,175,1.32,,0,0,0,,01:08.20.7,5,00:20:01,00:20:10,334,388
Running,2020,September,20/09/2020,20:26,Sunday,5.43,369,00:27:19,27.32,0,0,,160,169,05:02,04:17,428,200,1.24,,0,0,0,,02:03.73.9,6,00:27:17,00:27:41,140,390
Running,2020,September,18/09/2020,09:00,Friday,2.65,170,00:19:12,19.2,0,0,,149,220,07:15,04:12,398,276,0.93,,0,0,0,,04:24.10.8,3,00:19:10,00:19:12,-156,24
Running,2020,September,15/09/2020,19:26,Tuesday,4.62,316,00:23:23,23.38,0,0,,161,171,05:04,04:25,136,149,1.22,,0,0,0,,02:57.92.5,5,00:23:22,00:23:51,339,382
Running,2020,September,07/09/2020,20:23,Monday,3.41,219,00:17:38,17.63,0,0,,161,174,05:11,04:11,135,152,1.2,,0,0,0,,01:46.92.1,4,00:17:37,00:17:38,347,394
Running,2020,September,05/09/2020,20:55,Saturday,4.48,301,00:24:44,24.73,0,0,,161,171,05:31,04:55,128,118,1.12,,0,0,0,,02:31.73.8,5,00:24:42,00:24:44,341,377
Running,2020,August,31/08/2020,20:13,Monday,4.03,272,00:20:33,20.55,0,0,,169,176,05:06,03:58,306,280,1.16,,0,0,0,,00:07.93.9,5,00:20:31,00:20:33,318,395
Running,2020,August,27/08/2020,09:05,Thursday,0.3,15,00:00:47,0.78,0,0,,184,241,02:38,02:07,2,12,2.07,,0,0,0,,00:46.90.7,1,00:46.9,00:46.9,19,31
Running,2020,August,27/08/2020,08:12,Thursday,3.01,201,00:11:40,11.67,0,0,,167,182,03:52,03:21,151,142,1.55,,0,0,0,,00:02.34.5,4,00:11:38,00:11:40,9,44
Running,2020,August,24/08/2020,20:24,Monday,3.01,203,00:11:58,11.97,0,0,,166,182,03:59,03:22,133,127,1.52,,0,0,0,,00:01.54.4,4,00:11:57,00:11:58,357,381
Running,2020,August,21/08/2020,18:25,Friday,7.02,472,00:33:26,33.43,0,0,,162,180,04:46,03:42,504,489,1.3,,0,0,0,,00:02.90.3,8,00:33:23,00:35:28,722,857
Running,2020,August,17/08/2020,20:09,Monday,4.33,297,00:19:16,19.27,0,0,,166,181,04:27,03:42,227,201,1.36,,0,0,0,,01:53.25.3,5,00:19:14,00:19:33,345,393
Cycling,2020,August,14/08/2020,17:38,Friday,11.89,280,01:14:11,74.18,0,0,,0,0,9.6,120.2,820,903,0,,0,0,0,,15:59.97.6,3,00:58:32,01:30:33,84,"3,798"
Cycling,2020,August,14/08/2020,15:08,Friday,12.6,406,01:33:01,93.02,0,0,,0,0,8.1,29.9,303,220,0,,0,0,0,,22:48.47.7,3,01:13:04,01:52:16,74,162
Pool Swimming,2020,August,13/08/2020,09:00,Thursday,0.2,35,00:06:41,6.68,0,0,,0,0,02:26,01:43,,,0,113,51,23,0,,06:41.24.7,1,04:51.5,07:02.3,,
Running,2020,August,10/08/2020,20:20,Monday,4.01,274,00:18:36,18.6,0,0,,162,178,04:38,03:32,146,164,1.33,,0,0,0,,00:01.32.2,5,00:18:35,00:18:52,356,390
Running,2020,August,08/08/2020,20:53,Saturday,3.64,247,00:20:56,20.93,0,0,,158,171,05:45,04:54,164,151,1.1,,0,0,0,,03:38.94.5,4,00:20:56,00:20:56,348,397
Running,2020,August,06/08/2020,19:16,Thursday,3.01,200,00:12:03,12.05,0,0,,164,180,04:00,03:12,153,211,1.52,,0,0,0,,00:01.75.9,4,00:12:01,00:12:03,341,458
Running,2020,August,03/08/2020,20:17,Monday,5.03,343,00:24:53,24.88,0,0,,158,175,04:57,04:04,418,377,1.28,,0,0,0,,00:07.42.3,6,00:24:53,00:25:09,185,395
Running,2020,July,28/07/2020,20:03,Tuesday,4.11,275,00:21:45,21.75,0,0,,159,181,05:17,02:09,239,277,1.19,,0,0,0,,00:18.67.7,5,00:21:43,00:21:45,355,418
Running,2020,July,26/07/2020,20:19,Sunday,5.58,380,00:27:30,27.5,0,0,,159,169,04:56,04:10,211,288,1.27,,0,0,0,,02:38.92.1,6,00:27:26,00:28:05,345,452
Running,2020,July,24/07/2020,18:19,Friday,2.81,189,00:16:44,16.73,0,0,,156,163,05:58,04:41,154,161,1.07,,0,0,0,,04:51.45.7,3,00:16:43,00:16:44,356,397
Running,2020,July,20/07/2020,20:13,Monday,3.71,246,00:19:13,19.22,0,0,,159,169,05:11,04:35,260,222,1.22,,0,0,0,,03:26.48.1,4,00:19:13,00:19:13,335,450
Running,2020,July,18/07/2020,22:38,Saturday,3.47,236,00:17:58,17.97,0,0,,160,169,05:10,03:55,145,135,1.21,,0,0,0,,02:09.88.2,4,00:17:57,00:17:58,348,381
Running,2020,July,16/07/2020,20:10,Thursday,5.01,340,00:29:25,29.42,0,0,,157,177,05:52,04:53,228,217,1.09,,0,0,0,,00:02.14.8,6,00:29:25,00:29:30,352,383
Running,2020,July,13/07/2020,20:23,Monday,4.63,312,00:24:09,24.15,0,0,,160,186,05:13,02:13,137,136,1.2,,0,0,0,,02:30.85.8,5,00:24:06,00:24:09,354,380
Running,2020,July,12/07/2020,21:08,Sunday,2.37,160,00:13:11,13.18,0,0,,159,167,05:34,04:20,112,133,1.13,,0,0,0,,02:02.94.2,3,00:13:09,00:13:11,344,393
Running,2020,July,06/07/2020,20:16,Monday,5.01,342,00:26:50,26.83,0,0,,159,174,05:21,03:08,295,310,1.17,,0,0,0,,00:02.09.8,6,00:26:49,00:26:50,341,402
Running,2020,June,28/06/2020,20:54,Sunday,3.01,200,00:17:06,17.1,0,0,,156,167,05:40,04:29,589,601,1.13,,0,0,0,,00:02.84.5,4,00:17:05,00:17:06,183,450
Running,2020,June,21/06/2020,20:07,Sunday,4.58,310,00:22:14,22.23,0,0,,163,175,04:51,03:51,182,201,1.26,,0,0,0,,02:50.44.2,5,00:22:13,00:22:14,342,388
Running,2020,June,19/06/2020,18:01,Friday,5.08,349,00:30:11,30.18,0,0,,157,175,05:56,04:23,142,142,1.07,,0,0,0,,00:24.25.6,6,00:30:09,00:30:56,353,379
Running,2020,June,15/06/2020,20:26,Monday,4.5,308,00:20:22,20.37,0,0,,160,177,04:32,03:42,169,187,1.38,,0,0,0,,02:17.11.1,5,00:20:20,00:20:22,330,405
Open Water Swimming,2020,June,12/06/2020,09:32,Friday,0.731,141,00:25:17,25.28,0,0,,0,0,03:27,00:08,,,0,746,77,29,0,,25:16.51.5,1,00:25:17,00:25:17,,
Pool Swimming,2020,June,12/06/2020,09:03,Friday,0.125,29,00:02:27,2.45,0,0,,0,0,01:48,01:11,,,0,70,41,31,0,,02:26.82.2,1,02:14.9,03:32.2,,
Open Water Swimming,2020,June,12/06/2020,09:00,Friday,,,00:03:05,3.08,0,0,,0,0,,,,,0,76,0,24,0,,03:04.89.5,1,00:00:00,03:09.0,,
Running,2020,June,08/06/2020,20:51,Monday,5.04,344,00:28:28,28.47,0,0,,156,171,05:39,04:13,205,207,1.14,,0,0,0,,00:09.96.3,6,00:28:21,00:28:28,361,408
Running,2020,June,06/06/2020,21:02,Saturday,3.51,240,00:20:54,20.9,0,0,,159,176,05:57,05:11,164,258,1.06,,0,0,0,,03:08.11.5,4,00:20:53,00:20:54,354,465
Running,2020,June,02/06/2020,20:07,Tuesday,5.01,340,00:26:05,26.08,0,0,,159,176,05:12,04:19,232,220,1.2,,0,0,0,,00:02.56.3,6,00:26:03,00:26:31,339,404
Running,2020,May,31/05/2020,20:03,Sunday,4.54,303,00:20:09,20.15,0,0,,162,181,04:26,03:31,196,192,1.39,,0,0,0,,02:17.19.7,5,00:20:07,00:20:09,328,380
Running,2020,May,28/05/2020,18:14,Thursday,3.97,265,00:24:12,24.2,0,0,,155,169,06:06,04:51,244,273,1.06,,0,0,0,,05:55.6,4,00:23:29,00:24:12,337,455
Running,2020,May,26/05/2020,20:05,Tuesday,5,343,00:25:25,25.42,0,0,,161,173,05:05,04:05,210,226,1.23,,0,0,0,,04:50.63.4,5,00:25:24,00:25:28,333,415
Running,2020,May,22/05/2020,18:32,Friday,3.76,255,00:23:50,23.83,0,0,,149,173,06:20,03:25,192,220,1.06,,0,0,0,,04:33.89.1,4,00:22:39,00:23:50,757,810
Running,2020,May,17/05/2020,20:00,Sunday,2.84,195,00:16:27,16.45,0,0,,158,167,05:47,05:01,103,113,1.09,,0,0,0,,05:09.80.7,3,00:16:27,00:16:27,309,381
Running,2020,May,12/05/2020,20:30,Tuesday,4.67,320,00:26:16,26.27,0,0,,171,183,05:38,04:16,177,199,1.04,,0,0,0,,03:57.8,5,00:26:13,00:26:25,325,394
Running,2020,May,11/05/2020,20:07,Monday,4.31,291,00:19:49,19.82,0,0,,163,185,04:36,03:43,190,197,1.34,,0,0,0,,01:21.65.8,5,00:19:47,00:19:49,320,385
Running,2020,May,07/05/2020,08:37,Thursday,5.02,339,00:31:14,31.23,0,0,,161,174,06:14,04:16,274,179,1,,0,0,0,,00:07.73.6,6,00:31:13,00:32:48,-50,63
Running,2020,May,05/05/2020,21:42,Tuesday,2.4,164,00:11:03,11.05,0,0,,166,186,04:37,03:25,80,80,1.3,,0,0,0,,01:44.3,3,00:11:03,00:11:03,354,397
Running,2020,May,03/05/2020,20:28,Sunday,5.38,364,00:26:32,26.53,0,0,,162,176,04:56,03:22,215,206,1.25,,0,0,0,,01:22.37.5,6,00:26:31,00:26:32,351,381
Running,2020,May,01/05/2020,17:13,Friday,4.5,307,00:21:03,21.05,0,0,,163,176,04:41,03:55,160,204,1.31,,0,0,0,,02:18.64.7,5,00:21:01,00:21:03,326,394
Running,2020,April,29/04/2020,20:06,Wednesday,6.11,404,00:30:47,30.78,0,0,,162,176,05:02,02:07,424,229,1.23,,0,0,0,,00:24.4,7,00:30:45,00:30:47,143,400
Running,2020,April,27/04/2020,18:26,Monday,1.39,95,00:07:08,7.13,0,0,,160,171,05:08,04:41,98,76,1.22,,0,0,0,,01:54.44.9,2,07:07.4,07:07.8,353,406
Running,2020,April,25/04/2020,20:19,Saturday,4.25,283,00:21:21,21.35,0,0,,160,176,05:02,04:19,251,335,1.24,,0,0,0,,01:15.34.9,5,00:21:19,00:21:28,330,472
Running,2020,April,23/04/2020,20:19,Thursday,6.8,461,00:35:40,35.67,0,0,,161,178,05:15,03:27,278,282,1.18,,0,0,0,,03:47.73.6,7,00:35:39,00:35:40,356,411
Running,2020,April,18/04/2020,21:23,Saturday,6.2,421,00:30:59,30.98,0,0,,162,192,05:00,02:38,781,246,1.23,,0,0,0,,01:03.65.1,7,00:30:56,00:30:59,-180,456
Running,2020,April,17/04/2020,08:25,Friday,6.01,409,00:33:11,33.18,0,0,,162,178,05:31,04:39,203,193,1.12,,0,0,0,,00:02.2,7,00:33:08,00:33:11,347,385
Running,2020,April,11/04/2020,19:49,Saturday,4.31,292,00:24:11,24.18,0,0,,162,176,05:37,04:38,194,217,1.1,,0,0,0,,02:03.09.8,5,00:24:07,00:25:03,338,393
Running,2020,April,06/04/2020,20:41,Monday,4.41,300,00:23:02,23.03,0,0,,163,170,05:13,04:22,272,271,1.18,,0,0,0,,02:15.03.9,5,00:22:59,00:23:02,323,388
Running,2020,April,04/04/2020,20:07,Saturday,4.8,325,00:24:55,24.92,0,0,,165,176,05:11,03:50,269,217,1.17,,0,0,0,,04:01.7,5,00:24:51,00:25:08,298,380
Running,2020,April,03/04/2020,18:19,Friday,2.87,196,00:15:23,15.38,0,0,,159,184,05:21,02:37,97,77,1.18,,0,0,0,,04:51.98.3,3,00:15:23,00:15:23,322,362
Running,2020,March,31/03/2020,18:11,Tuesday,4.56,312,00:21:29,21.48,0,0,,167,177,04:43,03:57,123,140,1.27,,0,0,0,,02:27.74.6,5,00:21:27,00:21:29,328,378
Running,2020,March,28/03/2020,19:59,Saturday,3.55,242,00:21:27,21.45,0,0,,155,178,06:03,04:48,178,142,1.07,,0,0,0,,03:16.13.6,4,00:21:25,00:22:54,292,366
Running,2020,March,27/03/2020,16:50,Friday,3.61,244,00:20:56,20.93,0,0,,154,181,05:48,04:31,47,30,1.12,,0,0,0,,04:35.0,4,00:20:56,00:21:18,323,359
